"code_secteur_naf","libelle_secteur_naf","code_ogr_rome","code_rome","libelle_rome"
"1","Culture et production animale, chasse et services annexes","6","A1101","Conducteur / Conductrice d'engins agricoles"
"1","Culture et production animale, chasse et services annexes","9","A1203","Agent / Agente d'entretien des espaces verts"
"1","Culture et production animale, chasse et services annexes","488734","A1208","Jardinier / Jardinière paysagiste"
"1","Culture et production animale, chasse et services annexes","489042","A1211","Chef / Cheffe d'équipe paysagiste"
"1","Culture et production animale, chasse et services annexes","515388","A1216","Responsable de site naturel protégé"
"1","Culture et production animale, chasse et services annexes","515460","A1219","Directeur / Directrice espaces verts et biodiversité"
"1","Culture et production animale, chasse et services annexes","12","A1301","Technicien / Technicienne en agriculture"
"1","Culture et production animale, chasse et services annexes","13","A1302","Agent / Agente de diagnostic et de contrôle en agriculture"
"1","Culture et production animale, chasse et services annexes","14","A1303","Ingénieur / Ingénieure d'études et de recherche agricoles"
"1","Culture et production animale, chasse et services annexes","403951","A1304","Conseiller / Conseillère technique agricole"
"1","Culture et production animale, chasse et services annexes","509691","A1308","Technicien / Technicienne de l'insémination animale"
"1","Culture et production animale, chasse et services annexes","509754","A1309","Technicien / Technicienne d'élevage équin"
"1","Culture et production animale, chasse et services annexes","510022","A1310","Technicien / Technicienne de production animale"
"1","Culture et production animale, chasse et services annexes","515387","A1316","Chargé / Chargée de conservation ex-situ"
"1","Culture et production animale, chasse et services annexes","515445","A1320","Technicien en foncier rural / Technicienne en foncier rural"
"1","Culture et production animale, chasse et services annexes","15","A1401","Cueilleur / Cueilleuse de fruits"
"1","Culture et production animale, chasse et services annexes","16","A1402","Aide agricole en production végétale"
"1","Culture et production animale, chasse et services annexes","17","A1403","Aide d'élevage agricole"
"1","Culture et production animale, chasse et services annexes","19","A1405","Arboriculteur / Arboricultrice"
"1","Culture et production animale, chasse et services annexes","21","A1407","Eleveur / Eleveuse de bovins"
"1","Culture et production animale, chasse et services annexes","22","A1408","Eleveur / Eleveuse d'animaux sauvages"
"1","Culture et production animale, chasse et services annexes","23","A1409","Aviculteur / Avicultrice"
"1","Culture et production animale, chasse et services annexes","24","A1410","Eleveur / Eleveuse d'ovins"
"1","Culture et production animale, chasse et services annexes","25","A1411","Eleveur / Eleveuse de porcins"
"1","Culture et production animale, chasse et services annexes","26","A1412","Fromager-affineur / Fromagère-affineuse"
"1","Culture et production animale, chasse et services annexes","28","A1414","Horticulteur / Horticultrice"
"1","Culture et production animale, chasse et services annexes","30","A1416","Exploitant / Exploitante agricole"
"1","Culture et production animale, chasse et services annexes","403953","A1418","Viticulteur / Viticultrice"
"1","Culture et production animale, chasse et services annexes","403955","A1419","Ouvrier agricole polyvalent / Ouvrière agricole polyvalente"
"1","Culture et production animale, chasse et services annexes","403956","A1420","Chef / Cheffe de culture responsable d'unité de production agricole"
"1","Culture et production animale, chasse et services annexes","403957","A1421","Palefrenier soigneur / Palefrenière soigneuse"
"1","Culture et production animale, chasse et services annexes","488766","A1426","Educateur canin / Educatrice canine"
"1","Culture et production animale, chasse et services annexes","488914","A1429","Apiculteur / Apicultrice"
"1","Culture et production animale, chasse et services annexes","509364","A1432","Osiériculteur / Osiéricultrice"
"1","Culture et production animale, chasse et services annexes","509394","A1433","Maraîcher / Maraîchère"
"1","Culture et production animale, chasse et services annexes","510303","A1434","Tabaculteur / Tabacultrice"
"1","Culture et production animale, chasse et services annexes","509407","A1435","Eleveur / Eleveuse d'animaux de compagnie"
"1","Culture et production animale, chasse et services annexes","509512","A1436","Conducteur / Conductrice de travaux en entreprise de travaux agricoles"
"1","Culture et production animale, chasse et services annexes","509516","A1437","Champignonniste"
"1","Culture et production animale, chasse et services annexes","509679","A1439","Eleveur / Eleveuse d'équidés"
"1","Culture et production animale, chasse et services annexes","509694","A1440","Cultivateur urbain / Cultivatrice urbaine"
"1","Culture et production animale, chasse et services annexes","509768","A1441","Pépiniériste"
"1","Culture et production animale, chasse et services annexes","509813","A1442","Eleveur / Eleveuse de lapins"
"1","Culture et production animale, chasse et services annexes","510021","A1444","Aide agricole en production fruitière"
"1","Culture et production animale, chasse et services annexes","510265","A1447","Herboriste"
"1","Culture et production animale, chasse et services annexes","33","A1502","Maréchal-ferrant / Maréchale-ferrante"
